,Board Size,Number of Runs,Depth,Prune,Win Chance,Average Time(s),Average Visited Nodes
0,6 * 7,1,1,False,1.0,0.015062332153320312,32.0
1,6 * 7,1,3,False,1.0,0.21932601928710938,1509.0
2,6 * 7,1,5,False,1.0,9.848475933074951,71725.0
3,6 * 7,1,1,True,0.0,0.00452876091003418,24.0
4,6 * 7,1,3,True,1.0,0.08266043663024902,617.0
5,6 * 7,1,5,True,1.0,0.4933602809906006,3993.0
6,6 * 7,1,7,True,1.0,15.345094203948975,122756.0
7,7 * 8,1,1,False,0.0,0.008059024810791016,27.0
8,7 * 8,1,3,False,1.0,0.566624641418457,2774.0
9,7 * 8,1,5,False,1.0,35.21992111206055,176183.0
10,7 * 8,1,1,True,0.0,0.009958028793334961,36.0
11,7 * 8,1,3,True,1.0,0.3097562789916992,1610.0
12,7 * 8,1,5,True,1.0,2.408961534500122,12897.0
13,7 * 8,1,7,True,1.0,28.340564727783203,160173.0
14,7 * 10,1,1,False,1.0,0.01442098617553711,44.0
15,7 * 10,1,3,False,1.0,1.1190705299377441,4254.0
16,7 * 10,1,5,False,1.0,106.63303542137146,408793.0
17,7 * 10,1,1,True,1.0,0.012279272079467773,38.0
18,7 * 10,1,3,True,1.0,0.2363593578338623,977.0
19,7 * 10,1,5,True,1.0,10.2698655128479,41947.0
20,7 * 10,1,7,True,1.0,135.3055567741394,556928.0
